Tabla Normalizada Codigos ,,
CODIGO,Codigo TAXONOMICO,Taxonomia
1,CS1,T1
2,CS2,T2
3,CS3,T3
4,CS4,T4
5,CS5,T5
6,CS6,T6
7,CS7,T7
8,CS8,T8
9,CS9,T9
10,CS10,T10
11,CS11,T11
12,CS12,T12
13,CS13,T13
14,CS14,T14
15,CS15,T15
16,CS16,T16
17,CS17,T17
18,CS18,T18
19,CS19,T19
20,CS20,T20
21,CS21,T21
22,CS22,T22
23,CS23,T23
24,CS24,T24
25,CS25,T25
26,CS26,T26
27,CS27,T27
28,CS28,T28
29,CS29,T29
30,CS30,T30
31,CS31,T31
32,CS32,T32
33,CS33,T33
34,CS34,T34
35,CS35,T35
36,CS36,T36
37,CS37,T37
38,CS38,T38
39,CS39,T39
40,CS40,T40
41,CS41,T41
42,CS42,T42
43,CS43,T43
44,CS44,T44
45,CS45,T45
46,CS46,T46
47,CS47,T47
48,CS48,T48
49,CS49,T49
50,CS50,T50
51,CS51,T51
52,CS52,T52
53,CS53,T53
54,CS54,T54
55,CS55,T55
56,CS56,T56
57,CS57,T57
58,CS58,T58
59,CS59,T59
60,CS60,T60
61,CS61,T61
62,CS62,T62
63,CS63,T63
64,CS64,T64
65,CS65,T65
66,CS66,T66
67,CS67,T67
68,CS68,T68
69,CS69,T69
70,CS70,T70
71,CS71,T71
72,CS72,T72
73,CS73,T73
74,CS74,T74
75,CS75,T75
76,CS76,T76
77,CS77,T77
78,CS78,T78
79,CS79,T79
80,CS80,T80
81,CS81,T81
82,CS82,T82
83,CS83,T83
84,CS84,T84
85,CS85,T85
86,CS86,T86
87,CS87,T87
88,CS88,T88
89,CS89,T89
90,CS90,T90
91,CS91,T91
92,CS92,T92
93,CS93,T93
94,CS94,T94
95,CS95,T95
96,CS96,T96
97,CS97,T97
98,CS98,T98
99,CS99,T99
100,CS100,T100
101,CS101,T101
102,CS102,T102
103,CS103,T103
104,CS104,T104
105,CS105,T105
106,CS106,T106
107,CS107,T107
108,CS108,T108
109,CS109,T109
110,CS110,T110
111,CS111,T111
112,CS112,T112
113,CS113,T113
114,CS114,T114
115,CS115,T115
116,CS116,T116
117,CS117,T117
118,CS118,T118
119,CS119,T119
120,CS120,T120
121,CS121,T121
122,CS122,T122
123,CS123,T123
124,CS124,T124
125,CS125,T125
126,CS126,T126
127,CS127,T127
128,CS128,T128
129,CS129,T129
130,CS130,T130
131,CS131,T131
132,CS132,T132
133,CS133,T133
134,CS134,T134
135,CS135,T135
136,CS136,T136
137,CS137,T137
138,CS138,T138
139,CS139,T139
140,CS140,T140
141,CS141,T141
142,CS142,T142
143,CS143,T143
144,CS144,T144
145,CS145,T145
146,CS146,T146
147,CS147,T147
148,CS148,T148
149,CS149,T149
150,CS150,T150
151,CS151,T151
152,CS152,T152
153,CS153,T153
154,CS154,T154
155,CS155,T155
156,CS156,T156
157,CS157,T157
158,CS158,T158
159,CS159,T159
160,CS160,T160
161,CS161,T161
162,CS162,T162
163,CS163,T163
164,CS164,T164
165,CS165,T165
166,CS166,T166
167,CS167,T167
168,CS168,T168
169,CS169,T169
170,CS170,T170
171,CS171,T171
172,CS172,T172
173,CS173,T173
174,CS174,T174
175,CS175,T175
176,CS176,T176
177,CS177,T177
178,CS178,T178
179,CS179,T179
180,CS180,T180
181,CS181,T181
182,CS182,T182
183,CS183,T183
184,CS184,T184
185,CS185,T185
186,CS186,T186
187,CS187,T187
188,CS188,T188
189,CS189,T189
190,CS190,T190
191,CS191,T191
192,CS192,T192
193,CS193,T193
194,CS194,T194
195,CS195,T195
196,CS196,T196
197,CS197,T197
198,CS198,T198
199,CS199,T199
200,CS200,T200
201,CS201,T201
202,CS202,T202
203,CS203,T203
204,CS204,T204
205,CS205,T205
206,CS206,T206
207,CS207,T207
208,CS208,T208
209,CS209,T209
210,CS210,T210
211,CS211,T211
212,CS212,T212
213,CS213,T213
214,CS214,T214
215,CS215,T215
216,CS216,T216
217,CS217,T217
218,CS218,T218
219,CS219,T219
220,CS220,T220
221,CS221,T221
222,CS222,T222
223,CS223,T223
224,CS224,T224
225,CS225,T225
226,CS226,T226
227,CS227,T227
228,CS228,T228
229,CS229,T229
230,CS230,T230
231,CS231,T231
232,CS232,T232
233,CS233,T233
234,CS234,T234
235,CS235,T235
236,CS236,T236
237,CS237,T237
238,CS238,T238
239,CS239,T239
240,CS240,T240
241,CS241,T241
242,CS242,T242
243,CS243,T243
244,CS244,T244
245,CS245,T245
246,CS246,T246
247,CS247,T247
248,CS248,T248
249,CS249,T249
250,CS250,T250
251,CS251,T251
252,CS252,T252
253,CS253,T253
254,CS254,T254
255,CS255,T255
256,CS256,T256
257,CS257,T257
258,CS258,T258
259,CS259,T259
260,CS260,T260
261,CS261,T261
262,CS262,T262
263,CS263,T263
264,CS264,T264
265,CS265,T265
266,CS266,T266
267,CS267,T267
268,CS268,T268
269,CS269,T269
270,CS270,T270
271,CS271,T271
272,CS272,T272
273,CS273,T273
274,CS274,T274
275,CS275,T275
276,CS276,T276
277,CS277,T277
278,CS278,T278
279,CS279,T279
280,CS280,T280
281,CS281,T281
282,CS282,T282
283,CS283,T283
284,CS284,T284
285,CS285,T285
286,CS286,T286
287,CS287,T287
288,CS288,T288
289,CS289,T289
290,CS290,T290
291,CS291,T291
292,CS292,T292
293,CS293,T293
294,CS294,T294
295,CS295,T295
296,CS296,T296
297,CS297,T297
298,CS298,T298
299,CS299,T299
300,CS300,T300
301,CS301,T301
302,CS302,T302
303,CS303,T303
304,CS304,T304
305,CS305,T305
306,CS306,T306
307,CS307,T307
308,CS308,T308
309,CS309,T309
310,CS310,T310
311,CS311,T311
312,CS312,T312
313,CS313,T313
314,CS314,T314
315,CS315,T315
316,CS316,T316
317,CS317,T317
318,CS318,T318
319,CS319,T319
320,CS320,T320
321,CS321,T321
322,CS322,T322
323,CS323,T323
324,CS324,T324
325,CS325,T325
326,CS326,T326
327,CS327,T327
328,CS328,T328
329,CS329,T329
330,CS330,T330
331,CS331,T331
332,CS332,T332
333,CS333,T333
334,CS334,T334
335,CS335,T335
336,CS336,T336
337,CS337,T337
338,CS338,T338
339,CS339,T339
340,CS340,T340
341,CS341,T341
342,CS342,T342
343,CS343,T343
344,CS344,T344
345,CS345,T345
346,CS346,T346
347,CS347,T347
348,CS348,T348
349,CS349,T349
350,CS350,T350
351,CS351,T351
352,CS352,T352
353,CS353,T353
354,CS354,T354
355,CS355,T355
356,CS356,T356
357,CS357,T357
358,CS358,T358
359,CS359,T359
360,CS360,T360
361,CS361,T361
362,CS362,T362
363,CS363,T363
364,CS364,T364
365,CS365,T365
366,CS366,T366
367,CS367,T367
368,CS368,T368
369,CS369,T369
370,CS370,T370
371,CS371,T371
372,CS372,T372
373,CS373,T373
374,CS374,T374
375,CS375,T375
376,CS376,T376
377,CS377,T377
378,CS378,T378
379,CS379,T379
380,CS380,T380
381,CS381,T381
382,CS382,T382
383,CS383,T383
384,CS384,T384
385,CS385,T385
386,CS386,T386
387,CS387,T387
388,CS388,T388
389,CS389,T389
390,CS390,T390
391,CS391,T391
392,CS392,T392
393,CS393,T393
394,CS394,T394
395,CS395,T395
396,CS396,T396
397,CS397,T397
398,CS398,T398
399,CS399,T399
400,CS400,T400
401,CS401,T401
402,CS402,T402
403,CS403,T403
404,CS404,T404
405,CS405,T405
406,CS406,T406
407,CS407,T407
408,CS408,T408
409,CS409,T409
410,CS410,T410
411,CS411,T411
412,CS412,T412
413,CS413,T413
414,CS414,T414
415,CS415,T415
416,CS416,T416
417,CS417,T417
418,CS418,T418
419,CS419,T419
420,CS420,T420
421,CS421,T421
422,CS422,T422
423,CS423,T423
424,CS424,T424
425,CS425,T425
426,CS426,T426
427,CS427,T427
428,CS428,T428
429,CS429,T429
430,CS430,T430
431,CS431,T431
432,CS432,T432
433,CS433,T433
434,CS434,T434
435,CS435,T435
436,CS436,T436
437,CS437,T437
438,CS438,T438
439,CS439,T439
440,CS440,T440
441,CS441,T441
442,CS442,T442
443,CS443,T443
444,CS444,T444
445,CS445,T445
446,CS446,T446
447,CS447,T447
448,CS448,T448
449,CS449,T449
450,CS450,T450
451,CS451,T451
452,CS452,T452
453,CS453,T453
454,CS454,T454
455,CS455,T455
456,CS456,T456
457,CS457,T457
458,CS458,T458
459,CS459,T459
460,CS460,T460
461,CS461,T461
462,CS462,T462
463,CS463,T463
464,CS464,T464
465,CS465,T465
466,CS466,T466
467,CS467,T467
468,CS468,T468
469,CS469,T469
470,CS470,T470
471,CS471,T471
472,CS472,T472
473,CS473,T473
474,CS474,T474
475,CS475,T475
476,CS476,T476
477,CS477,T477
478,CS478,T478
479,CS479,T479
480,CS480,T480
481,CS481,T481
482,CS482,T482
483,CS483,T483
484,CS484,T484
485,CS485,T485
486,CS486,T486
487,CS487,T487
488,CS488,T488
489,CS489,T489
490,CS490,T490
491,CS491,T491
492,CS492,T492
493,CS493,T493
494,CS494,T494
495,CS495,T495
496,CS496,T496
497,CS497,T497
498,CS498,T498
499,CS499,T499
500,CS500,T500
501,CS501,T501
502,CS502,T502
503,CS503,T503
504,CS504,T504
505,CS505,T505
506,CS506,T506
507,CS507,T507
508,CS508,T508
509,CS509,T509
510,CS510,T510
511,CS511,T511
512,CS512,T512
513,CS513,T513
514,CS514,T514
515,CS515,T515
516,CS516,T516
517,CS517,T517
518,CS518,T518
519,CS519,T519
520,CS520,T520
521,CS521,T521
522,CS522,T522
523,CS523,T523
524,CS524,T524
525,CS525,T525
526,CS526,T526
527,CS527,T527
528,CS528,T528
529,CS529,T529
530,CS530,T530
531,CS531,T531
532,CS532,T532
533,CS533,T533
534,CS534,T534
535,CS535,T535
536,CS536,T536
537,CS537,T537
538,CS538,T538
539,CS539,T539
540,CS540,T540
541,CS541,T541
542,CS542,T542
543,CS543,T543
544,CS544,T544
545,CS545,T545
546,CS546,T546
547,CS547,T547
548,CS548,T548
549,CS549,T549
550,CS550,T550
551,CS551,T551
552,CS552,T552
553,CS553,T553
554,CS554,T554
555,CS555,T555
556,CS556,T556
557,CS557,T557
558,CS558,T558
559,CS559,T559
560,CS560,T560
561,CS561,T561
562,CS562,T562
563,CS563,T563
564,CS564,T564
565,CS565,T565
566,CS566,T566
567,CS567,T567
568,CS568,T568
569,CS569,T569
570,CS570,T570
571,CS571,T571
572,CS572,T572
573,CS573,T573
574,CS574,T574
575,CS575,T575
576,CS576,T576
577,CS577,T577
578,CS578,T578
579,CS579,T579
580,CS580,T580
581,CS581,T581
582,CS582,T582
583,CS583,T583
584,CS584,T584
585,CS585,T585
586,CS586,T586
587,CS587,T587
588,CS588,T588
589,CS589,T589
590,CS590,T590
591,CS591,T591
592,CS592,T592
593,CS593,T593
594,CS594,T594
595,CS595,T595
596,CS596,T596
597,CS597,T597
598,CS598,T598
599,CS599,T599
600,CS600,T600
601,CS601,T601
602,CS602,T602
603,CS603,T603
604,CS604,T604
605,CS605,T605
606,CS606,T606
607,CS607,T607
608,CS608,T608
609,CS609,T609
610,CS610,T610
611,CS611,T611
612,CS612,T612
613,CS613,T613
614,CS614,T614
615,CS615,T615
616,CS616,T616
617,CS617,T617
618,CS618,T618
619,CS619,T619
620,CS620,T620
621,CS621,T621
622,CS622,T622
623,CS623,T623
624,CS624,T624
625,CS625,T625
626,CS626,T626
627,CS627,T627
628,CS628,T628
629,CS629,T629
630,CS630,T630
631,CS631,T631
632,CS632,T632
633,CS633,T633
634,CS634,T634
635,CS635,T635
636,CS636,T636
637,CS637,T637
638,CS638,T638
639,CS639,T639
640,CS640,T640
641,CS641,T641
642,CS642,T642
643,CS643,T643
644,CS644,T644
645,CS645,T645
646,CS646,T646
647,CS647,T647
648,CS648,T648
649,CS649,T649
650,CS650,T650
651,CS651,T651
652,CS652,T652
653,CS653,T653
654,CS654,T654
655,CS655,T655
656,CS656,T656
657,CS657,T657
658,CS658,T658
659,CS659,T659
660,CS660,T660
661,CS661,T661
662,CS662,T662
663,CS663,T663
664,CS664,T664
665,CS665,T665
666,CS666,T666
667,CS667,T667
668,CS668,T668
669,CS669,T669
670,CS670,T670
671,CS671,T671
672,CS672,T672
673,CS673,T673
674,CS674,T674
675,CS675,T675
676,CS676,T676
677,CS677,T677
678,CS678,T678
679,CS679,T679
680,CS680,T680
681,CS681,T681
682,CS682,T682
683,CS683,T683
684,CS684,T684
685,CS685,T685
686,CS686,T686
687,CS687,T687
688,CS688,T688
689,CS689,T689
690,CS690,T690
691,CS691,T691
692,CS692,T692
693,CS693,T693
694,CS694,T694
695,CS695,T695
696,CS696,T696
697,CS697,T697
698,CS698,T698
699,CS699,T699
700,CS700,T700
701,CS701,T701
702,CS702,T702
703,CS703,T703
704,CS704,T704
705,CS705,T705
706,CS706,T706
707,CS707,T707
708,CS708,T708
709,CS709,T709
710,CS710,T710
711,CS711,T711
712,CS712,T712
713,CS713,T713
714,CS714,T714
715,CS715,T715
716,CS716,T716
717,CS717,T717
718,CS718,T718
719,CS719,T719
720,CS720,T720
721,CS721,T721
722,CS722,T722
723,CS723,T723
724,CS724,T724
725,CS725,T725
726,CS726,T726
727,CS727,T727
728,CS728,T728
729,CS729,T729
730,CS730,T730
731,CS731,T731
732,CS732,T732
733,CS733,T733
734,CS734,T734
735,CS735,T735
736,CS736,T736
737,CS737,T737
738,CS738,T738
739,CS739,T739
740,CS740,T740
741,CS741,T741
742,CS742,T742
743,CS743,T743
744,CS744,T744
745,CS745,T745
746,CS746,T746
747,CS747,T747
748,CS748,T748
749,CS749,T749
750,CS750,T750
751,CS751,T751
752,CS752,T752
753,CS753,T753
754,CS754,T754
755,CS755,T755
756,CS756,T756
757,CS757,T757
758,CS758,T758
759,CS759,T759
760,CS760,T760
761,CS761,T761
762,CS762,T762
763,CS763,T763
764,CS764,T764
765,CS765,T765
766,CS766,T766
767,CS767,T767
768,CS768,T768
769,CS769,T769
770,CS770,T770
771,CS771,T771
772,CS772,T772
773,CS773,T773
774,CS774,T774
775,CS775,T775
776,CS776,T776
777,CS777,T777
778,CS778,T778
779,CS779,T779
780,CS780,T780
781,CS781,T781
782,CS782,T782
783,CS783,T783
784,CS784,T784
785,CS785,T785
786,CS786,T786
787,CS787,T787
788,CS788,T788
789,CS789,T789
790,CS790,T790
791,CS791,T791
792,CS792,T792
793,CS793,T793
794,CS794,T794
795,CS795,T795
796,CS796,T796
797,CS797,T797
798,CS798,T798
799,CS799,T799
800,CS800,T800
801,CS801,T801
802,CS802,T802
803,CS803,T803
804,CS804,T804
805,CS805,T805
806,CS806,T806
807,CS807,T807
808,CS808,T808
809,CS809,T809
810,CS810,T810
811,CS811,T811
812,CS812,T812
813,CS813,T813
814,CS814,T814
815,CS815,T815
816,CS816,T816
817,CS817,T817
818,CS818,T818
819,CS819,T819
820,CS820,T820
821,CS821,T821
822,CS822,T822
823,CS823,T823
824,CS824,T824
825,CS825,T825
826,CS826,T826
827,CS827,T827
828,CS828,T828
829,CS829,T829
830,CS830,T830
831,CS831,T831
832,CS832,T832
833,CS833,T833
834,CS834,T834
835,CS835,T835
836,CS836,T836
837,CS837,T837
838,CS838,T838
839,CS839,T839
840,CS840,T840
841,CS841,T841
842,CS842,T842
843,CS843,T843
844,CS844,T844
845,CS845,T845
846,CS846,T846
847,CS847,T847
848,CS848,T848
849,CS849,T849
850,CS850,T850
851,CS851,T851
852,CS852,T852
853,CS853,T853
854,CS854,T854
855,CS855,T855
856,CS856,T856
857,CS857,T857
858,CS858,T858
859,CS859,T859
860,CS860,T860
861,CS861,T861
862,CS862,T862
863,CS863,T863
864,CS864,T864
865,CS865,T865
866,CS866,T866
867,CS867,T867
868,CS868,T868
869,CS869,T869
870,CS870,T870
871,CS871,T871
872,CS872,T872
873,CS873,T873
874,CS874,T874
875,CS875,T875
876,CS876,T876
877,CS877,T877
878,CS878,T878
879,CS879,T879
880,CS880,T880
881,CS881,T881
882,CS882,T882
883,CS883,T883
884,CS884,T884
885,CS885,T885
886,CS886,T886
887,CS887,T887
888,CS888,T888
889,CS889,T889
890,CS890,T890
891,CS891,T891
892,CS892,T892
893,CS893,T893
894,CS894,T894
895,CS895,T895
896,CS896,T896
897,CS897,T897
898,CS898,T898
899,CS899,T899
900,CS900,T900
901,CS901,T901
902,CS902,T902
903,CS903,T903
904,CS904,T904
905,CS905,T905
906,CS906,T906
907,CS907,T907
908,CS908,T908
909,CS909,T909
910,CS910,T910
911,CS911,T911
912,CS912,T912
913,CS913,T913
914,CS914,T914
915,CS915,T915
916,CS916,T916
917,CS917,T917
918,CS918,T918
919,CS919,T919
920,CS920,T920
921,CS921,T921
922,CS922,T922
923,CS923,T923
924,CS924,T924
925,CS925,T925
926,CS926,T926
927,CS927,T927
928,CS928,T928
929,CS929,T929
930,CS930,T930
931,CS931,T931
932,CS932,T932
933,CS933,T933
934,CS934,T934
935,CS935,T935
936,CS936,T936
937,CS937,T937
938,CS938,T938
939,CS939,T939
940,CS940,T940
941,CS941,T941
942,CS942,T942
943,CS943,T943
944,CS944,T944
945,CS945,T945
946,CS946,T946
947,CS947,T947
948,CS948,T948
949,CS949,T949
950,CS950,T950
951,CS951,T951
952,CS952,T952
953,CS953,T953
954,CS954,T954
955,CS955,T955
956,CS956,T956
957,CS957,T957
958,CS958,T958
959,CS959,T959
960,CS960,T960
961,CS961,T961
962,CS962,T962
963,CS963,T963
964,CS964,T964
965,CS965,T965
966,CS966,T966
967,CS967,T967
968,CS968,T968
969,CS969,T969
970,CS970,T970
971,CS971,T971
972,CS972,T972
973,CS973,T973
974,CS974,T974
975,CS975,T975
976,CS976,T976
977,CS977,T977
978,CS978,T978
979,CS979,T979
980,CS980,T980
981,CS981,T981
982,CS982,T982
983,CS983,T983
984,CS984,T984
985,CS985,T985
986,CS986,T986
987,CS987,T987
988,CS988,T988
989,CS989,T989
990,CS990,T990
991,CS991,T991
992,CS992,T992
993,CS993,T993
994,CS994,T994
995,CS995,T995
996,CS996,T996
997,CS997,T997
998,CS998,T998
999,CS999,T999
1000,CS1000,T1000
1001,CS1001,T1001
1002,CS1002,T1002
1003,CS1003,T1003
1004,CS1004,T1004
1005,CS1005,T1005
1006,CS1006,T1006
1007,CS1007,T1007
1008,CS1008,T1008
1009,CS1009,T1009
1010,CS1010,T1010
1011,CS1011,T1011
1012,CS1012,T1012
1013,CS1013,T1013
1014,CS1014,T1014
1015,CS1015,T1015
1016,CS1016,T1016
1017,CS1017,T1017
1018,CS1018,T1018
1019,CS1019,T1019
1020,CS1020,T1020
1021,CS1021,T1021
1022,CS1022,T1022
1023,CS1023,T1023
1024,CS1024,T1024
1025,CS1025,T1025
1026,CS1026,T1026
1027,CS1027,T1027
1028,CS1028,T1028
1029,CS1029,T1029
1030,CS1030,T1030
1031,CS1031,T1031
1032,CS1032,T1032
1033,CS1033,T1033
1034,CS1034,T1034
1035,CS1035,T1035
1036,CS1036,T1036
1037,CS1037,T1037
1038,CS1038,T1038
1039,CS1039,T1039
1040,CS1040,T1040
1041,CS1041,T1041
1042,CS1042,T1042
1043,CS1043,T1043
1044,CS1044,T1044
1045,CS1045,T1045
1046,CS1046,T1046
1047,CS1047,T1047
1048,CS1048,T1048
1049,CS1049,T1049
1050,CS1050,T1050
1051,CS1051,T1051
1052,CS1052,T1052
1053,CS1053,T1053
1054,CS1054,T1054
1055,CS1055,T1055
1056,CS1056,T1056
1057,CS1057,T1057
1058,CS1058,T1058
1059,CS1059,T1059
1060,CS1060,T1060
1061,CS1061,T1061
1062,CS1062,T1062
1063,CS1063,T1063
1064,CS1064,T1064
1065,CS1065,T1065
1066,CS1066,T1066
1067,CS1067,T1067
1068,CS1068,T1068
1069,CS1069,T1069
1070,CS1070,T1070
1071,CS1071,T1071
1072,CS1072,T1072
1073,CS1073,T1073
1074,CS1074,T1074
1075,CS1075,T1075
1076,CS1076,T1076
1077,CS1077,T1077
1078,CS1078,T1078
1079,CS1079,T1079
1080,CS1080,T1080
1081,CS1081,T1081
1082,CS1082,T1082
1083,CS1083,T1083
1084,CS1084,T1084
1085,CS1085,T1085
1086,CS1086,T1086
1087,CS1087,T1087
1088,CS1088,T1088
1089,CS1089,T1089
1090,CS1090,T1090
1091,CS1091,T1091
1092,CS1092,T1092
1093,CS1093,T1093
1094,CS1094,T1094
1095,CS1095,T1095
1096,CS1096,T1096
1097,CS1097,T1097
1098,CS1098,T1098
1099,CS1099,T1099
1100,CS1100,T1100
1101,CS1101,T1101
1102,CS1102,T1102
1103,CS1103,T1103
1104,CS1104,T1104
1105,CS1105,T1105
1106,CS1106,T1106
1107,CS1107,T1107
1108,CS1108,T1108
1109,CS1109,T1109
1110,CS1110,T1110
1111,CS1111,T1111
1112,CS1112,T1112
1113,CS1113,T1113
1114,CS1114,T1114
1115,CS1115,T1115
1116,CS1116,T1116
1117,CS1117,T1117
1118,CS1118,T1118
1119,CS1119,T1119
1120,CS1120,T1120
1121,CS1121,T1121
1122,CS1122,T1122
1123,CS1123,T1123
1124,CS1124,T1124
1125,CS1125,T1125
1126,CS1126,T1126
1127,CS1127,T1127
1128,CS1128,T1128
1129,CS1129,T1129
1130,CS1130,T1130
1131,CS1131,T1131
1132,CS1132,T1132
1133,CS1133,T1133
1134,CS1134,T1134
1135,CS1135,T1135
1136,CS1136,T1136
1137,CS1137,T1137
