Intraespecificidad epiteto,,,,
CODIGO INTERESPECIFIDAD,GENERO,EPITETO ESPECIFICO,EPITETO INFRAESPECIFICO,NOMBRE VERNACULO
1,Arthonia,obscurella,NA,NA
2,Arthonia,septemlocularis,NA,NA
3,Ancistrosporella,leucophila,NA,NA
4,Byssoloma,permutans,NA,NA
5,Lecanactis,proximans,NA,NA
6,Schismatomma,leucopsarum,NA,NA
7,Bogoriella,apposita,NA,NA
8,Bacidia,proposita,NA,NA
9,Badimia,vezdana,NA,NA
10,Ramalina,bogotensis,NA,NA
11,Ramalina,protensa,NA,NA
12,Gyalideopsis,chicaque,NA,NA
13,Fissurina,linoana,NA,NA
14,Graphis,amaliana,NA,NA
15,Graphis,carmenelisana,NA,NA
16,Graphis,kavintuca,NA,NA
17,Graphis,lurizana,NA,NA
18,Graphis,mokanarum,NA,NA
19,Graphis,rosalbiana,NA,NA
20,Graphis,santanderiana,NA,NA
21,Graphis,solmariana,NA,NA
22,Myriotrema,fragile,NA,NA
23,Ocellularia,auberianoides,NA,NA
24,Ocellularia,percolumellata,NA,NA
25,Ocellularia,umbilicatoides,NA,NA
26,Ocellularia,usnicolor,NA,NA
27,Phaeographina,cabbalistica,NA,NA
28,Phaeographis,dividens,NA,NA
29,Phaeographis,galeanoae,NA,NA
30,Phaeographis,leucocheila,NA,NA
31,Platythecium,serpentinellum,NA,NA
32,Redingeria,glyphica,NA,NA
33,Thalloloma,haemographum,NA,NA
34,Thelotrema,conveniens,NA,NA
35,Thelotrema,leucocarpoides,NA,NA
36,Thelotrema,sphinctrinellum,NA,NA
37,Aspidothelium,silverstonei,NA,NA
38,Leptogium,inversum,NA,NA
39,Lobariella,angustata,NA,NA
40,Lobariella,ecorticata,NA,NA
41,Lobariella,flavomedullosa,NA,NA
42,Lobariella,parmelioides,NA,NA
43,Lobariella,pseudocrenulata,NA,NA
44,Lobariella,reticulata,NA,NA
45,Sticta,peltigerella,NA,NA
46,Sticta,rubropruinosa,NA,NA
47,Sticta,silverstonii,NA,NA
48,Sticta,tunjensis,NA,NA
49,Pertusaria,confundens,NA,NA
50,Pertusaria,thelocarpoides,NA,NA
51,Caloplaca,conjungens,NA,NA
52,Cora,accipiter,NA,NA
53,Cora,arachnodavidea,NA,NA
54,Cora,arcabucana,NA,NA
55,Cora,aturucoa,NA,NA
56,Cora,barbifera,NA,NA
57,Cora,byssoidea,NA,NA
58,Cora,casanarensis,NA,NA
59,Cora,corelleslia,NA,NA
60,Cora,davibogotana,NA,NA
61,Cora,davicrinita,NA,NA
62,Cora,davidia,NA,NA
63,Cora,fimbriata,NA,NA
64,Cora,gigantea,NA,NA
65,Cora,hafecesweorthensis,NA,NA
66,Cora,hirsuta,NA,NA
67,Cora,inversa,NA,NA
68,Cora,leslactuca,NA,NA
69,Cora,pastorum,NA,NA
70,Cora,pikynasa,NA,NA
71,Cora,putumayensis,NA,NA
72,Cora,quillacinga,NA,NA
73,Cora,rothesiorum,NA,NA
74,Cora,setosa,NA,NA
75,Cora,udebeceana,NA,NA
76,Cora,undulata,NA,NA
77,Cora,verjonensis,NA,NA
78,Lepidostroma,calocerum,NA,NA
79,Multiclavula,coronilla,NA,NA
80,Sulzbacheromyces,chocoensis,NA,NA
81,Sulzbacheromyces,tutunendo,NA,NA
82,Anomobryum,clavicaule,NA,NA
83,Bryum,sordidum,NA,NA
84,Schizymenium,pectinatum,NA,NA
85,Dicranella,muralis,NA,NA
86,Dicranella,pusilla,NA,NA
87,Pleuridium,lindigianum,NA,NA
88,Calyptrochaeta,nutans,NA,NA
89,Leskeodon,paisa,NA,NA
90,Lepidopilum,wallisii,NA,NA
91,Eurhynchium,semitortum,NA,NA
92,Trichosteleum,mastopomatoides,NA,NA
93,Cyrto-hypnum,arzobispoae,NA,NA
94,Macromitrium,tocaremae,NA,NA
95,Didymodon,lindigii,NA,NA
96,Tayloria,altorum,NA,NA
97,Sphagnum,angustifolium,NA,NA
98,Sphagnum,antioquiense,NA,NA
99,Sphagnum,boomii,NA,NA
100,Sphagnum,boyacanum,NA,NA
101,Sphagnum,capillaceum,NA,NA
102,Sphagnum,cleefii,NA,NA
103,Sphagnum,curvatulum,NA,NA
104,Sphagnum,diblastoides,NA,NA
105,Sphagnum,falcatulum,NA,NA
106,Sphagnum,imperforatum,NA,NA
107,Sphagnum,laxirameum,NA,NA
108,Sphagnum,lewisii,NA,NA
109,Sphagnum,ornatum,NA,NA
110,Sphagnum,platyphyllum,NA,NA
111,Sphagnum,pylaesii,NA,NA
112,Sphagnum,rotundatum,NA,NA
113,Sphagnum,santanderense,NA,NA
114,Sphagnum,sonsonense,NA,NA
115,Sphagnum,squarrosum,NA,NA
116,Sphagnum,sumapazense,NA,NA
117,Neesioscyphus,allionii,NA,NA
118,Ruizanthus,venezuelanus,NA,NA
119,Nowellia,curvifolia,NA,NA
120,Cephaloziella,divaricata,NA,NA
121,Cephaloziopsis,intertexta,NA,NA
122,Bazzania,denticulifera,NA,NA
123,Micropterygium,longicellulatum,NA,NA
124,Chaetocolea,palmata,NA,NA
125,Temnoma,chaetophyllum,NA,NA
126,Metzgeria,lechleri,NA,NA
127,Blepharolejeunea,saccata,NA,NA
128,Ceratolejeunea,globulifera,NA,NA
129,Cheilolejeunea,aurifera,NA,NA
130,Cheilolejeunea,tonduzana,NA,NA
131,Cololejeunea,minuscula,NA,NA
132,Cololejeunea,papilliloba,NA,NA
133,Cololejeunea,sicifolia,NA,NA
134,Colura,cylindrica,NA,NA
135,Dibrachiella,bischleriana,NA,NA
136,Lejeunea,inflexiloba,NA,NA
137,Prionolejeunea,magnistipula,NA,NA
138,Porella,brachiata,NA,NA
139,Riccia,weinionis,NA,NA
140,Alsophila,esmeraldensis,NA,NA
141,Alsophila,imrayana,NA,NA
142,Alsophila,incana,NA,NA
143,Alsophila,paucifolia,NA,NA
144,Alsophila,rupestris,NA,NA
145,Cyathea,acutidens,NA,NA
146,Cyathea,aemula,NA,NA
147,Cyathea,antioquensis,NA,NA
148,Cyathea,arborea,NA,NA
149,Cyathea,boconensis,NA,NA
150,Cyathea,callejasii,NA,NA
151,Cyathea,cardenasii,NA,NA
152,Cyathea,cervantesiana,NA,NA
153,Cyathea,clandestina,NA,NA
154,Cyathea,coloradoana,NA,NA
155,Cyathea,eggersii,NA,NA
156,Cyathea,giraldoi,NA,NA
157,Cyathea,gracilis,NA,NA
158,Cyathea,guentheriana,NA,NA
159,Cyathea,haughtii,NA,NA
160,Cyathea,kalbreyeri,NA,NA
161,Cyathea,kessleriana,NA,NA
162,Cyathea,lindigii,NA,NA
163,Cyathea,longipetiolulata,NA,NA
164,Cyathea,minuta,NA,NA
165,Cyathea,nodulifera,NA,NA
166,Cyathea,oblonga,NA,NA
167,Cyathea,obnoxia,NA,NA
168,Cyathea,pacis,NA,NA
169,Cyathea,pholidota,NA,NA
170,Cyathea,pilozana,NA,NA
171,Cyathea,pinnuloides,NA,NA
172,Cyathea,prosopioides,NA,NA
173,Cyathea,renjifoi,NA,NA
174,Cyathea,retanae,NA,NA
175,Cyathea,rodriguezii,NA,NA
176,Cyathea,singularis,NA,NA
177,Cyathea,straminea,NA,NA
178,Cyathea,tejedoris,NA,NA
179,Cyathea,toroi,NA,NA
180,Cyathea,uleana,NA,NA
181,Cyathea,uregoana,NA,NA
182,Cyathea,varians,NA,NA
183,Cyathea,werffii,NA,NA
184,Dicksonia,lehnertiana,NA,NA
185,Dicksonia,stuebelii,NA,NA
186,Zamia,amplifolia,NA,Zamia de Anchicayá
187,Zamia,disodon,NA,Zamia dentada
188,Zamia,encephalartoides,NA,Zamia de Las Rocas
189,Zamia,huilensis,NA,NA
190,Zamia,incognita,NA,NA
191,Zamia,melanorrhachis,NA,NA
192,Zamia,montana,NA,Zamia de Montaña
193,Zamia,oligodonta,NA,Zamia de Risaralda
194,Zamia,pyrophylla,NA,NA
195,Zamia,restrepoi,NA,NA
196,Zamia,tolimensis,NA,NA
197,Zamia,wallisii,NA,NA
198,Podocarpus,guatemalensis,NA,Chaquiro dulce
199,Podocarpus,oleifolius,NA,Pino colombiano
200,Prumnopitys,harmsiana,NA,Pino chaquiro
201,Prumnopitys,montana,NA,Pino de montaña
202,Myrrhidendron,pennellii,NA,NA
203,Dendropanax,glaberrimus,NA,NA
204,Dendropanax,lehmannii,NA,NA
205,Dendropanax,pachypodus,NA,NA
206,Oreopanax,acerifolius,NA,Mano de Tigre
207,Oreopanax,brunneus,NA,NA
208,Oreopanax,cyclophyllus,NA,NA
209,Oreopanax,fontqueranus,NA,NA
210,Oreopanax,gargantae,NA,Higuerón
211,Oreopanax,hypargyreus,NA,NA
212,Oreopanax,killipii,NA,NA
213,Oreopanax,lawrancei,NA,NA
214,Oreopanax,niger,NA,NA
215,Oreopanax,ruizanus,NA,Cincodedos
216,Oreopanax,sucrensis,NA,NA
217,Oreopanax,trianae,NA,Cincodedos
218,Oreopanax,velutinus,NA,NA
219,Schefflera,bifurcata,NA,NA
220,Schefflera,calyptricuspidata,NA,NA
221,Schefflera,connata,NA,NA
222,Schefflera,digyna,NA,Maco
223,Schefflera,heterotricha,NA,NA
224,Schefflera,paniculitomentosa,NA,NA
225,Schefflera,samariana,NA,NA
226,Schefflera,sararensis,NA,NA
227,Ilex,bullata,NA,NA
228,Ilex,gale,NA,NA
229,Ilex,mucronulata,NA,NA
230,Ilex,pustulosa,NA,Mulato
231,Ilex,velutinulosa,NA,NA
232,Citronella,silvatica,NA,NA
233,Aequatorium,latibracteolatum,NA,NA
234,Coespeletia,laxiflora,NA,NA
235,Critoniopsis,cinerea,NA,Cenizo
236,Critoniopsis,cuatrecasasii,NA,Blanquizco
237,Critoniopsis,franciscana,NA,NA
238,Critoniopsis,glandulata,NA,NA
239,Critoniopsis,popayanensis,NA,NA
240,Critoniopsis,uribei,NA,NA
241,Critoniopsis,ursicola,NA,NA
242,Diplostephium,dentatum,NA,NA
243,Diplostephium,ellipticum,NA,NA
244,Diplostephium,oblongifolium,NA,NA
245,Diplostephium,perijaense,NA,NA
246,Diplostephium,santamartae,NA,NA
247,Espeletia,annemariana,NA,NA
248,Espeletia,arbelaezii,NA,NA
249,Espeletia,ariana,NA,NA
250,Espeletia,azucarina,NA,NA
251,Espeletia,brachyaxiantha,NA,Frailejón de Pesca
252,Espeletia,brassicoidea,NA,Frailejón Arrepollado
253,Espeletia,cabrerensis,NA,Frailejón de Cabrera
254,Espeletia,cachaluensis,NA,NA
255,Espeletia,canescens,NA,NA
256,Espeletia,cayetana,NA,Frailejón de San Cayetano
257,Espeletia,chocontana,NA,Frailejón de Chocontá
258,Espeletia,cleefii,NA,NA
259,Espeletia,conglomerata,NA,Frailejón Aglomerado
260,Espeletia,discoidea,NA,Frailejón Discoideo
261,Espeletia,dugandii,NA,Frailejón de Dugand
262,Espeletia,episcopalis,NA,NA
263,Espeletia,estanislana,NA,Frailejón de Estanislao
264,Espeletia,formosa,NA,NA
265,Espeletia,idroboi,NA,Frailejón de Idrobo
266,Espeletia,incana,NA,Frailejón Blanco
267,Espeletia,jaramilloi,NA,Frailejón de Jaramillo
268,Espeletia,mirabilis,NA,NA
269,Espeletia,miradorensis,NA,NA
270,Espeletia,nemekenei,NA,Frailejón de Nemequene
271,Espeletia,oswaldiana,NA,Frailejón de Oswaldo
272,Espeletia,paipana,NA,Frailejón de Paipa
273,Espeletia,perijaensis,NA,Frailejón de Perijá
274,Espeletia,pescana,NA,Frailejón de Belén
275,Espeletia,pulcherrima,NA,NA
276,Espeletia,raquirensis,NA,NA
277,Espeletia,roberti,NA,Frailejón de Jurisdicciones
278,Espeletia,rositae,NA,Frailejón de Santa Rosita
279,Espeletia,schultesiana,NA,Frailejón de Schultes
280,Espeletia,soroca,NA,NA
281,Espeletia,standleyana,NA,Frailejón de Standley
282,Espeletia,steyermarkii,NA,NA
283,Espeletia,summapacis,NA,NA
284,Espeletia,tibamoensis,NA,NA
285,Espeletia,tunjana,NA,Frailejón de Tunja
286,Espeletiopsis,betancurii,NA,NA
287,Espeletiopsis,caldasii,NA,Frailejón Enano
288,Espeletiopsis,diazii,NA,NA
289,Espeletiopsis,funckii,NA,Frailejón de Funck
290,Espeletiopsis,garciae,NA,Frailejón de García Barriga
291,Espeletiopsis,insignis,NA,Frailejón de Chitagá
292,Espeletiopsis,jimenez-quesadae,NA,NA
293,Espeletiopsis,purpurascens,NA,Frailejón Purpúreo
294,Espeletiopsis,rabanalensis,NA,NA
295,Espeletiopsis,sanchezii,NA,NA
296,Espeletiopsis,sclerophylla,NA,Frailejón coriáceo
297,Gynoxys,columbiana,NA,NA
298,Gynoxys,florulenta,NA,NA
299,Gynoxys,hirsuta,NA,Chilca lanosa
300,Gynoxys,hirsutissima,NA,NA
301,Gynoxys,laurata,NA,NA
302,Jalcophila,colombiana,NA,NA
303,Jaramilloa,hylibates,NA,NA
304,Libanothamnus,divisoriensis,NA,Tabaquillo de la Frontera
305,Libanothamnus,tamanus,NA,Tabaquillo de Tamá
306,Linochilus,antioquensis,NA,NA
307,Linochilus,apiculatus,NA,NA
308,Linochilus,camargoanus,NA,NA
309,Linochilus,chrysotrichus,NA,NA
310,Linochilus,colombianus,NA,NA
311,Linochilus,coriaceus,NA,NA
312,Linochilus,frontinensis,NA,NA
313,Linochilus,heterophyllus,NA,NA
314,Linochilus,jaramilloi,NA,NA
315,Linochilus,juajibioyi,NA,NA
316,Linochilus,violaceus,NA,NA
317,Llerasia,caucana,NA,NA
318,Lycoseris,colombiana,NA,NA
319,Mikania,tristachya,NA,NA
320,Paragynoxys,uribei,NA,Orejo
321,Paramiflos,glandulosus,NA,Frailejón glanduloso
322,Pectis,monocephala,NA,NA
323,Pentacalia,albi-panquei,NA,NA
324,Pentacalia,almorzana,NA,NA
325,Pentacalia,cacaosensis,NA,NA
326,Pentacalia,diamantensis,NA,NA
327,Pentacalia,elatoides,NA,NA
328,Pentacalia,fimbriifera,NA,NA
329,Pentacalia,harrietae,NA,NA
330,Pentacalia,novolanata,NA,NA
331,Pentacalia,perijaensis,NA,NA
332,Pentacalia,ricoensis,NA,NA
333,Pentacalia,robertii,NA,NA
334,Pentacalia,summapacis,NA,NA
335,Pentacalia,taironae,NA,NA
336,Pentacalia,vallecaucana,NA,NA
337,Pentacalia,viridi-alba,NA,NA
338,Pentacalia,yanetharum,NA,NA
339,Perymenium,colombianum,NA,NA
340,Piptocarpha,boyacensis,NA,NA
341,Ruilopezia,cardonae,NA,NA
342,Steiractinia,rusbyana,NA,NA
343,Tamania,chardonii,NA,Tabaquero
344,Cordia,fuertesii,NA,Mulato
345,Cordia,killipiana,NA,NA
346,Cordia,ramirezii,NA,NA
347,Varronia,acuta,NA,Guásimo
348,Tournefortia,brantii,NA,NA
349,Tournefortia,killipii,NA,NA
350,Viburnum,antioquiense,NA,NA
351,Viburnum,axillare,NA,NA
352,Viburnum,lehmannii,NA,NA
353,Viburnum,subsessile,NA,NA
354,Viburnum,suratense,NA,NA
355,Saurauia,chocoensis,NA,NA
356,Saurauia,micayensis,NA,Moquillo
357,Saurauia,oroquensis,NA,NA
358,Saurauia,pulchra,NA,Dulumoco
359,Bejaria,nana,NA,NA
360,Cavendishia,dendrophila,NA,NA
361,Cavendishia,jardinensis,NA,NA
362,Cavendishia,longirachis,NA,NA
363,Cavendishia,macrocephala,NA,NA
364,Cavendishia,nuda,NA,NA
365,Cavendishia,sessiliflora,NA,NA
366,Cavendishia,sophoclesioides,NA,NA
367,Macleania,crassa,NA,NA
368,Macleania,pubiflora,NA,NA
369,Orthaea,caudata,NA,NA
370,Orthaea,cavendishioides,NA,NA
371,Pernettya,hirta,NA,NA
372,Plutarchia,coronaria,NA,NA
373,Plutarchia,dasyphylla,NA,NA
374,Plutarchia,dichogama,NA,NA
375,Plutarchia,guascensis,NA,NA
376,Plutarchia,minor,NA,NA
377,Plutarchia,miranda,NA,NA
378,Plutarchia,monantha,NA,NA
379,Plutarchia,pubiflora,NA,NA
380,Plutarchia,rigida,NA,NA
381,Semiramisia,pulcherrima,NA,NA
382,Themistoclesia,mucronata,NA,NA
383,Themistoclesia,recurva,NA,NA
384,Themistoclesia,rostrata,NA,NA
385,Thibaudia,fallax,NA,NA
386,Bertholletia,excelsa,NA,Nuez del Brasil
387,Cariniana,pyriformis,NA,Abarco | Chibugá
388,Couroupita,nicaraguarensis,NA,NA
389,Eschweilera,bogotensis,NA,NA
390,Eschweilera,cabrerana,NA,Dopirai | Cabo de hacha | Fono
391,Eschweilera,integricalyx,NA,Corcuncho
392,Eschweilera,neei,NA,NA
393,Eschweilera,pachyderma,NA,Guasco blanco
394,Eschweilera,rimbachii,NA,NA
395,Grias,colombiana,NA,Guasca
396,Grias,multinervia,NA,NA
397,Gustavia,angustifolia,NA,NA
398,Gustavia,dubia,NA,Mula muerta | Alma negra
399,Gustavia,excelsa,NA,Pacó | Pacó de monte
400,Gustavia,foliosa,NA,NA
401,Gustavia,gentryi,NA,NA
402,Gustavia,gracillima,NA,Confite
403,Gustavia,grandibracteata,NA,NA
404,Gustavia,latifolia,NA,NA
405,Gustavia,longifuniculata,NA,Mula muerta
406,Gustavia,petiolata,NA,NA
407,Gustavia,romeroi,NA,Coco hediondo
408,Lecythis,mesophylla,NA,Coco cristal
409,Lecythis,tuyrana,NA,Olla de mono | Olleto
410,Freziera,sericea,NA,Cerezo
411,Ardisia,killipii,NA,NA
412,Clavija,cauliflora,NA,Durazno de monte
413,Clavija,grandis,NA,NA
414,Clavija,killipii,NA,NA
415,Clavija,plumbea,NA,manzano
416,Clavija,sanctae-martae,NA,NA
417,Cybianthus,cogolloi,NA,NA
418,Geissanthus,callejasii,NA,NA
419,Geissanthus,cestrifolius,NA,Cacho de venado
420,Geissanthus,francoae,NA,Huesito
421,Geissanthus,goudotianus,NA,NA
422,Geissanthus,kalbreyeri,NA,Colorado
423,Geissanthus,sessiliflorus,NA,Tampaco
424,Hymenandra,callejasii,NA,NA
425,Myrsine,paramensis,NA,NA
426,Myrsine,perreticulata,NA,NA
427,Chrysophyllum,euryphyllum,NA,NA
428,Styrax,lasiocalyx,NA,NA
429,Styrax,schultzei,NA,NA
430,Symplocos,lehmannii,NA,NA
431,Symplocos,phaeoneura,NA,NA
432,Symplocos,pichindensis,NA,NA
433,Symplocos,quindiuensis,NA,NA
434,Symplocos,rhomboidea,NA,NA
435,Symplocos,trianae,NA,NA
436,Symplocos,venulosa,NA,NA
437,Aspidosperma,polyneuron,NA,Carreto | Carreto blanco | Costillo | Costillo acanalado (a nivel nacional) | Comulá | Cumulá (Cundinamarca y Tolima) | Quimulá (Cundinamarca y Tolima)
438,Lacmellea,abbreviata,NA,Sande
439,Malouetia,cuatrecasatis,NA,NA
440,Mandevilla,aridana,NA,NA
441,Metastelma,atrovirens,NA,NA
442,Arachnothryx,educta,NA,NA
443,Arachnothryx,euryphylla,NA,NA
444,Arachnothryx,guettardioides,NA,NA
445,Chomelia,longiflora,NA,NA
446,Coussarea,antioquiana,NA,NA
447,Coussarea,insolita,NA,NA
448,Elaeagia,barbata,NA,NA
449,Guettarda,ocoteifolia,NA,NA
450,Joosia,antioquiana,NA,NA
451,Macrocnemum,stylocarpum,NA,NA
452,Palicourea,antioquiana,NA,NA
453,Palicourea,denslowiae,NA,NA
454,Palicourea,killipii,NA,Mortiño
455,Psychotria,altiplanensis,NA,NA
456,Psychotria,gallerana,NA,NA
457,Psychotria,ovatistipula,NA,NA
458,Rudgea,vallis,NA,NA
459,Simira,cesariana,NA,Berraquillo
460,Simira,hirsuta,NA,NA
461,Aphelandra,porphyrocarpa,NA,NA
462,Aphelandra,taborensis,NA,NA
463,Ruellia,potamophila,NA,NA
464,Handroanthus,coralibe,NA,Coralibe
465,Romeroa,verticillata,NA,Cuerillo
466,Adenocalymma,magdalenense,NA,NA
467,Besleria,decipiens,NA,NA
468,Aegiphila,pennellii,NA,NA
469,Aegiphila,sylvatica,NA,NA
470,Hyptidendron,arboreum,NA,Gallinazo blanco
471,Hyptis,purdiei,NA,Mastranto azul de Purdie
472,Lepechinia,betonicifolia,NA,Matico
473,Lepechinia,cocuyensis,NA,Savielugo de Cocuy
474,Lepechinia,velutina,NA,Salvielugo del Chicamocha
475,Lepechinia,vulcanicola,NA,Salvielugo del Galeras
476,Mesosphaerum,diffusum,NA,Mastranto serrano
477,Mesosphaerum,melissoides,NA,Mastranto del Juanambú
478,Mesosphaerum,obtusatum,NA,Mastranto azul de Nariño
479,Mesosphaerum,perbullatum,NA,Mastranto azul del Chicamocha
480,Salvia,alvajaca,NA,Salvia panameña
481,Salvia,ampelophylla,NA,Salvión morado de Cauca
482,Salvia,carbonoi,NA,Salvia de Carbonó
483,Salvia,chicamochae,NA,Salvia azul del Chicamocha
484,Salvia,cocuyana,NA,Amarguera del Cocuy
485,Salvia,codazziana,NA,Salvia de Codazzi
486,Salvia,corrugata,NA,Salvia corrugada
487,Salvia,cyanotropha,NA,Salvia lanosa de Ocaña
488,Salvia,falcata,NA,Salvia roja de Talauta
489,Salvia,funckii,NA,Salvia de Funck
490,Salvia,hermesiana,NA,Salvia del Cerro Pintado
491,Salvia,jaramilloi,NA,Salvia de Jaramillo
492,Salvia,libanensis,NA,Salvia de San Lorenzo
493,Salvia,macrostachya,NA,Salviarrial
494,Salvia,manaurica,NA,Salvia de Manaure
495,Salvia,nubigena,NA,Salvia de las nubes
496,Salvia,pamplonitana,NA,Salvia de Pamplonita
497,Salvia,paramicola,NA,Dominico del Almordero
498,Salvia,rubriflora,NA,Salvia hoja de flecha
499,Salvia,sagittata,NA,Salvia sagitana del sur
500,Salvia,sciaphila,NA,Salvia de las sombras
501,Salvia,sochensis,NA,Salvia de Socha
502,Salvia,sordida,NA,NA
503,Salvia,tolimensis,NA,Salvia púrpura del Tolima
504,Salvia,uribei,NA,Amarguera azul
505,Salvia,venulosa,NA,Salvia vinosa de Risaralda
506,Salvia,xeropapillosa,NA,Amarguera papilosa
507,Satureja,anachoreta,NA,Alhucema del Cerro Pintado
508,Scutellaria,cuatrecasana,NA,Escutelaria de Cuatrecasas
509,Scutellaria,hookeri,NA,Escutelaria de Hooker
510,Scutellaria,parrae,NA,Escutelaria de parra
511,Scutellaria,pseudocoleus,NA,Albahacón morado
512,Scutellaria,roseocyanea,NA,Escutelaria de Dabeiba
513,Stachys,radicans,NA,Bretónica rastrera
514,Vitex,columbiensis,NA,Aceituno
515,Chionanthus,abriaquiensis,NA,NA
516,Aragoa,abscondita,NA,NA
517,Aragoa,corrugatifolia,NA,NA
518,Aragoa,cupressina,NA,NA
519,Aragoa,dugandii,NA,NA
520,Aragoa,hammenii,NA,NA
521,Aragoa,parviflora,NA,NA
522,Aragoa,perez-arbelaeziana,NA,NA
523,Aragoa,picachensis,NA,NA
524,Citharexylum,vallense,NA,NA
525,Metteniusa,cundinamarcensis,NA,NA
526,Metteniusa,huilensis,NA,NA
527,Metteniusa,santanderensis,NA,NA
528,Cestrum,killipii,NA,NA
529,Solanum,humboldtianum,NA,NA
530,Browningia,hernandezii,NA,Dato | Canelón
531,Cephalotomandra,fragrans,NA,Talco
532,Guapira,uberrima,NA,NA
533,Triplaris,purdiei,NA,NA
534,Tripodanthus,belmirensis,NA,NA
535,Phoradendron,longissimum,NA,NA
536,Phoradendron,lorifolium,NA,NA
537,Acoelorraphe,wrightii,NA,Wild Pop Thatch
538,Aiphanes,acaulis,NA,Mararay sin tallo
539,Aiphanes,buenaventurae,NA,NA
540,Aiphanes,duquei,NA,Mararay de Duque
541,Aiphanes,gelatinosa,NA,Mararay Gelatinoso
542,Aiphanes,graminifolia,NA,Mararay macanillo
543,Aiphanes,killipii,NA,NA
544,Aiphanes,leiostachys,NA,Mararay de San Carlos
545,Aiphanes,lindeniana,NA,NA
546,Aiphanes,parvifolia,NA,Mararay hojipequeño
547,Aiphanes,pilaris,NA,Marary de pilar
548,Astrocaryum,malybo,NA,Palma estera
549,Astrocaryum,triandrum,NA,Guatinajo
550,Attalea,amygdalina,NA,Táparo del Río Cauca
551,Attalea,cohune,NA,Mamarrón
552,Attalea,colenda,NA,Palma Real de Tumaco
553,Attalea,iguadummat,NA,NA
554,Attalea,nucifera,NA,Almendrón
555,Bactris,charnleyae,NA,NA
556,Bactris,rostrata,NA,Chacarrá picudo
557,Calyptrogyne,costatifrons,NA,NA
558,Ceroxylon,alpinum,NA,Palma de cera de la zona cafetera
559,Ceroxylon,ceriferum,NA,NA
560,Ceroxylon,parvifrons,NA,NA
561,Ceroxylon,quindiuense,NA,Palma de cera del Quindío
562,Ceroxylon,sasaimae,NA,Palma de Cera de Sasaima
563,Ceroxylon,ventricosum,NA,Palma de cera barrigona
564,Ceroxylon,vogelianum,NA,NA
565,Chamaedorea,pumila,NA,NA
566,Chamaedorea,pygmaea,NA,Molinillo enano
567,Chamaedorea,ricardoi,NA,Molinillo de Ricardo
568,Chamaedorea,subjectifolia,NA,NA
569,Coccothrinax,argentata,NA,Palmicha de Providencia
570,Cryosophila,kalbreyeri,NA,Palma Escoba
571,Elaeis,oleifera,NA,Nolí
572,Geonoma,bernalii,NA,NA
573,Geonoma,chlamydostachys,NA,Geonoma del Magdalena
574,Geonoma,galeanoae,NA,NA
575,Geonoma,santanderensis,NA,Geonoma de Santander
576,Hyospathe,frontinensis,NA,Guagualín de Frontino
577,Hyospathe,wendlandiana,NA,Guagualín de Wendland
578,Oenocarpus,circumtextus,NA,Milpesillo de Sabana
579,Pholidostachys,panamensis,NA,NA
580,Pholidostachys,sanluisensis,NA,NA
581,Phytelephas,tumacana,NA,Tagua de Tumaco
582,Reinhardtia,gracilis,NA,Coquito esbelto
